"SEGMENTID","ONSTREETNAME","FROMSTREETNAME","TOSTREETNAME","BOROUGH_CODE","WORK_START_DATE","WORK_END_DATE","PURPOSE"
23194,"THAMES STREET","BROADWAY","TRINITY PLACE","M",2017-10-31,2018-01-26,"PLACE EQUIPMENT OTHER THAN CRANE OR SHOV"
23194,"THAMES STREET","BROADWAY","TRINITY PLACE","M",2017-10-31,2018-01-26,"OCCUPANCY OF SIDEWALK AS STIPULATED"
30663,"LITTLE NASSAU STREET","DEAD END","KENT AVENUE","B",2017-10-31,2018-01-01,"CONTRACT ROADWAY MILLING"
30838,"SKILLMAN STREET","MYRTLE AVENUE","WILLOUGHBY AVENUE","B",2017-10-31,2018-01-01,"CONTRACT ROADWAY MILLING"
30846,"SKILLMAN STREET","MYRTLE AVENUE","PARK AVENUE","B",2017-10-31,2018-01-01,"CONTRACT ROADWAY MILLING"
30830,"SKILLMAN STREET","DE KALB AVENUE","WILLOUGHBY AVENUE","B",2017-10-31,2018-01-01,"CONTRACT ROADWAY MILLING"
30670,"SKILLMAN STREET","FLUSHING AVENUE","PARK AVENUE","B",2017-10-31,2018-01-01,"CONTRACT ROADWAY MILLING"
30818,"SKILLMAN STREET","DE KALB AVENUE","LAFAYETTE AVENUE","B",2017-10-31,2018-01-01,"CONTRACT ROADWAY MILLING"
48495,"MOFFAT STREET","KNICKERBOCKER AVENUE","WILSON AVENUE","B",2017-10-31,2018-01-01,"CONTRACT ROADWAY MILLING"
44092,"MOFFAT STREET","CENTRAL AVENUE","EVERGREEN AVENUE","B",2017-10-31,2018-01-01,"CONTRACT ROADWAY MILLING"
47217,"MOFFAT STREET","CENTRAL AVENUE","WILSON AVENUE","B",2017-10-31,2018-01-01,"CONTRACT ROADWAY MILLING"
43953,"MOFFAT STREET","BROADWAY","BUSHWICK AVENUE","B",2017-10-31,2018-01-01,"CONTRACT ROADWAY MILLING"
44080,"MOFFAT STREET","BUSHWICK AVENUE","EVERGREEN AVENUE","B",2017-10-31,2018-01-01,"CONTRACT ROADWAY MILLING"
30655,"LITTLE NASSAU STREET","KENT AVENUE","TAAFFE PLACE","B",2017-10-31,2018-01-01,"CONTRACT ROADWAY MILLING"
43221,"JEFFERSON AVENUE","MALCOLM X BOULEVARD","STUYVESANT AVENUE","B",2017-10-31,2018-01-01,"CONTRACT ROADWAY MILLING"
43331,"JEFFERSON AVENUE","PATCHEN AVENUE","MALCOLM X BOULEVARD","B",2017-10-31,2018-01-01,"CONTRACT ROADWAY MILLING"
43442,"JEFFERSON AVENUE","PATCHEN AVENUE","RALPH AVENUE","B",2017-10-31,2018-01-01,"CONTRACT ROADWAY MILLING"
43215,"JEFFERSON AVENUE","LEWIS AVENUE","STUYVESANT AVENUE","B",2017-10-31,2018-01-01,"CONTRACT ROADWAY MILLING"
43123,"JEFFERSON AVENUE","LEWIS AVENUE","MARCUS GARVEY BOULEVARD","B",2017-10-31,2018-01-01,"CONTRACT ROADWAY MILLING"
43550,"JEFFERSON AVENUE","HOWARD AVENUE","RALPH AVENUE","B",2017-10-31,2018-01-01,"CONTRACT ROADWAY MILLING"
225056,"JEFFERSON AVENUE","HOWARD AVENUE","SARATOGA AVENUE","B",2017-10-31,2018-01-01,"CONTRACT ROADWAY MILLING"
